"CID","MolecularFormula","MolecularWeight","ExactMass","MonoisotopicMass","IsotopeAtomCount","CovalentUnitCount","IsomericSMILES"
167271328,"C7H11IN2",250.08,249.99670,249.99670,0,1,"CC1=NN(C=C1)C(C)(C)I"
167255099,"C7H11IN2",250.08,249.99670,249.99670,0,1,"CN1C[C@@H](C[C@H]1CI)C#N"
167244748,"C7H11IN2",250.08,249.99670,249.99670,0,1,"C=CC(C=C/C(=C\N)/N)I"
167240249,"C7H11IN2",250.08,249.99670,249.99670,0,1,"CC1=C(N(N=C1C)CI)C"
167194050,"C10H7N2O2PS",250.22,249.99658564,249.99658564,0,1,"C1=CC=C2C(=C1)C(=O)N(C2=O)CSPC#N"
167187720,"C7H11IN2",250.08,249.99670,249.99670,0,1,"CC1C2C=CC(N2)CN1I"
167168355,"C8H8ClFN2O2S",250.68,249.9979045,249.9979045,0,1,"CC1=CC(=C(C(=C1F)C=N)N)S(=O)(=O)Cl"
167113868,"C7H11IN2",250.08,249.99670,249.99670,0,1,"C1CC2C=NCC2N(C1)I"
167104881,"C7H11IN2",250.08,249.99670,249.99670,0,1,"CC1=C(N(N=C1)C(C)C)I"
167067182,"C7H11IN2",250.08,249.99670,249.99670,0,1,"C/C(=C\N(C1CC1)N=C)/I"
167016117,"C7H11IN2",250.08,249.99670,249.99670,0,1,"C/C=C\C=C(/C=C(N)N)\I"
166921863,"C7H10N2O2S3",250.4,249.99044109,249.99044109,0,1,"C1=NC(=C(C(=O)N1)O)CSCSCS"
166895788,"C5H8F2O7S",250.18,249.99588009,249.99588009,0,1,"COCC(=O)OC(C(F)(F)S(=O)(=O)O)O"
166843507,"C7H11IN2",250.08,249.99670,249.99670,0,1,"C/C=C(\C=N/C(=C\N)/C)/I"
166833644,"C7H11IN2",250.08,249.99670,249.99670,0,1,"C1CC(C1)N=C/C(=C\N)/I"
166833344,"C7H11IN2",250.08,249.99670,249.99670,0,1,"C1CC1CN=C/C(=C\N)/I"
166811952,"C7H11IN2",250.08,249.99670,249.99670,0,1,"CC/C=C/C(=N/C=N\I)C"
166791471,"C5H3F9O",250.06,250.00401817,250.00401817,0,1,"C(C(C(F)F)(F)F)(OC(C(F)F)(F)F)F"
166755910,"C11H13Cl3",251.6,250.008283,250.008283,0,1,"CC1=C(C(=C(C(=C1Cl)C(C)C)Cl)Cl)C"
166729607,"C9H8ClN2NaOS",250.68,249.9943560,249.9943560,0,3,"C1=CC(=C(N=C1)N)Cl.C1=CSC=C1[O-].[Na+]"
166723575,"C12H11BrO",251.12,249.99933,249.99933,0,1,"CC1=CC2=C(C=CC(=C2C=C1)Br)CO"
166723143,"C12H11BrO",251.12,249.99933,249.99933,0,1,"C/C=C/1\C(=C/C)\OC2=C1C(=CC=C2)Br"
166710888,"C7H11IN2",250.08,249.99670,249.99670,0,1,"CC(C)(C1=NCCN=C1)I"
166689039,"C9H12BrFO2",251.09,250.00047,250.00047,0,1,"CC/C(=C(\C(=C/C)\F)/C(=O)OC)/Br"
166670809,"C12H11BrO",251.12,249.99933,249.99933,0,1,"C1CC=C2C(C1)OC3=C2C(=CC=C3)Br"
151004603,"C12H11BrO",251.12,249.99933,249.99933,0,1,"CCOC1=CC2=C(C=C1)C(=CC=C2)Br"
