"CID","HBondDonorCount","HBondAcceptorCount","XLogP","TPSA"
11,0,0,1.500,0.0
135,2,3,1.600,57.5
176,1,2,-0.2,37.3
243,1,2,1.900,37.3
280,0,2,0.9,34.1
281,0,1,0.7,1.0
284,1,2,-0.2,37.3
299,0,1,3.9,17.1
379,1,2,3.000,37.3
612,2,3,-0.700,57.5
702,1,1,-0.100,20.2
712,0,1,1.2,17.1
727,0,0,3.800,0.0
784,2,2,-0.9,40.5
802,2,2,1.400,53.1
931,0,0,3.300,0.0
947,0,2,0.1,47.6
991,0,6,3.800,106.0
992,1,1,5.100,20.2
1004,3,4,-2.1,77.8
1032,1,2,0.300,37.3
1045,2,2,-0.9,52.0
1068,0,1,0.9,25.3
1118,2,4,-1.4,83.0
1176,2,1,-1.4,69.1
1480,1,3,3.300,46.5
1486,1,3,2.800,46.5
1489,1,3,3.500,46.5
1639,2,3,-0.400,67.6
1732,1,1,3.100,20.2
1923,1,2,2.000,33.1
1982,1,4,-0.800,80.7
1988,0,2,3.200,29.5
2078,0,2,3.500,29.5
2087,0,0,4.5,0.0
2256,2,5,2.600,62.7
2268,0,7,2.800,121.0
2314,1,4,1.700,56.8
2319,0,8,5.300,94.9
2328,1,4,2.800,74.9
2450,2,4,-0.6,86.3
2519,0,3,-0.100,58.4
2566,1,3,2.300,47.6
2728,1,2,3.500,38.3
2730,0,5,5.300,72.7
2871,0,6,4.500,86.1
2912,0,4,6.000,59.3
2943,0,4,4.400,52.6
2969,1,2,4.100,37.3
3017,0,6,3.800,85.6
3030,1,3,2.200,46.5
3031,0,1,2.700,23.8
3037,2,2,4.300,40.5
3039,0,4,1.400,44.8
3048,0,1,3.7,12.5
3082,1,5,0.800,105.0
3118,0,5,4.000,101.0
3120,1,1,2.700,32.3
3224,0,4,3.800,54.7
3225,2,5,-0.5,83.8
3239,4,6,4.8,107.0
3286,0,8,5.100,152.0
3289,0,4,3.600,76.9
3293,1,2,3.1,21.3
3314,1,2,2.000,29.5
3346,0,5,4.100,85.1
3347,0,4,6.200,59.3
3352,1,11,4.5,104.0
3374,1,5,2.9,57.6
3444,0,3,3.600,39.9
3485,0,2,-0.5,34.1
3496,4,6,-4.6,107.0
3526,5,3,1.7,141.0
3589,0,0,4.3,0.0
3598,2,2,7.500,40.5
3776,1,1,0.3,20.2
3893,1,2,4.200,37.3
4004,0,8,2.400,128.0
4096,1,4,-0.9,77.6
4101,0,4,0.3,13.0
4109,1,4,0.600,76.0
4115,0,2,5.100,18.5
4130,0,6,2.900,106.0
4169,0,2,3.100,29.5
4420,0,4,2.5,44.8
4618,0,6,-0.700,97.1
4685,0,0,3.400,0.0
4690,0,3,2.7,49.8
4767,0,3,6.200,35.5
4790,0,5,3.600,101.0
4793,0,6,4.400,105.0
4794,3,5,-5.000,101.0
4875,0,1,"",0.0
4929,2,6,3.500,88.0
4931,0,1,2.200,20.3
4933,1,1,3.100,29.1
4936,0,5,5.0,64.0
4937,2,5,2.900,62.7
4944,1,3,1.500,47.6
5053,0,3,6.100,39.4
5125,0,4,3.200,93.0
5192,2,4,2.100,74.6
5216,2,5,2.200,62.7
5234,0,1,"",0.0
5338,2,6,1.700,106.0
5383,1,4,1.6,86.4
5392,0,9,6.000,145.0
5430,1,3,2.500,69.8
5455,0,4,1.7,121.0
5543,0,2,4.4,45.6
5569,0,8,5.300,94.9
5759,1,2,2.900,37.3
5794,0,5,3.7,46.2
5853,1,4,0.500,55.8
5862,3,4,-2.500,64.3
5943,0,0,2.8,0.0
5988,8,11,-3.700,190.0
5993,0,0,4.9,0.0
6129,1,2,2.400,38.3
6209,1,2,"",20.2
6323,0,0,1.0,0.0
6325,0,0,1.2,0.0
6336,0,3,2.900,54.5
6343,1,1,0.9,1.0
6348,0,2,2.1,64.2
6354,0,1,-0.1,12.5
6418,1,2,1.3,37.3
6423,0,2,2.100,45.8
6466,3,6,0.200,104.0
6492,0,0,2.5,0.0
6531,0,10,4.3,170.0
6564,0,0,1.8,0.0
6585,1,3,-0.4,46.5
6635,0,3,4.300,51.8
6636,0,3,3.700,51.8
6643,1,1,3.900,20.2
6654,0,0,2.8,0.0
6719,0,3,3.700,51.2
6720,0,2,4.200,45.8
6733,0,3,2.6,51.2
6758,0,6,4.100,63.2
6780,0,2,3.400,34.1
6795,0,0,1.4,7.8
6861,1,1,2.100,43.1
6862,1,2,2.700,37.3
6885,0,2,0.800,26.3
6989,1,1,3.300,20.2
7017,1,1,3.100,20.2
7095,0,0,4.000,0.0
7153,1,3,3.100,46.5
7158,1,3,3.800,46.5
7204,1,3,2.600,46.5
7207,1,3,3.600,46.5
7328,0,4,5.100,59.8
7362,0,2,0.400,30.2
7430,1,3,2.900,71.8
7439,0,1,2.4,17.1
7456,1,3,2.000,46.5
7474,0,2,2.400,45.8
7541,1,4,3.000,50.7
7551,1,2,3.200,38.3
7560,1,1,1.000,32.3
7628,3,3,"",60.7
7639,0,1,5.2,25.3
7794,0,1,3.0,17.1
7839,0,0,2.000,0.0
7858,1,1,0.200,20.2
7873,0,7,0.4,80.3
8025,0,2,0.5,26.3
8050,0,2,4.700,26.3
8058,0,0,3.900,0.0
8081,0,3,-0.400,27.7
8091,0,2,3.600,26.3
8158,1,2,3.500,37.3
8163,0,1,4.100,17.1
8174,1,1,4.600,20.2
8193,1,1,5.100,20.2
8205,0,2,5.600,26.3
8209,1,1,6.200,20.2
8257,1,1,0.800,20.2
8264,0,4,-0.100,23.6
8268,1,1,4.300,20.2
8286,0,1,"",0.0
8292,0,6,2.200,96.1
8297,1,5,1.100,105.0
8305,0,2,5.100,42.5
8330,0,2,3.900,45.8
8342,0,2,3.400,34.1
8370,0,0,5.700,0.0
8381,0,6,3.3,92.4
8393,0,3,1.4,47.4
8422,1,3,2.500,46.5
8425,1,1,4.000,20.2
8427,1,3,3.400,46.5
8594,2,3,3.5,66.4
8606,0,3,2.400,62.7
8607,0,3,2.800,62.7
8630,2,3,2.0,63.3
8722,0,4,"",72.7
8753,0,1,"",0.0
8797,0,2,2.100,26.3
8800,1,1,1.900,32.3
8809,0,5,4.6,64.0
8843,0,1,3.0,17.1
9011,0,3,5.0,75.9
9272,0,6,2.0,85.6
9298,0,4,5.100,59.8
9411,1,2,2.100,49.4
9477,0,3,5.200,50.6
9502,1,2,3.200,41.6
